ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.524,3.974,13.791,37880,1,43.06,,,,NaN,,,,0 / 0,5,2018-11-08 11:27:42:184
1.992,5.037,8.073,39850,1,46.63,,,,NaN,,,,0 / 0,255,2018-11-08 11:27:42:434
1.254,4.395,8.581,42278,1,43.55,,,,NaN,,,,0 / 0,505,2018-11-08 11:27:42:684
2.164,4.807,8.351,31353,1,43.55,,,,NaN,,,,0 / 0,755,2018-11-08 11:27:42:934
2.183,4.826,8.504,31677,1,48.03,,,,NaN,,,,0 / 0,1004,2018-11-08 11:27:43:183
1.752,4.711,8.523,33136,1,45.69,,,,NaN,,,,0 / 0,1255,2018-11-08 11:27:43:434
2.662,4.348,9.098,33597,1,41.02,,,,NaN,,,,0 / 0,1504,2018-11-08 11:27:43:683
2.202,4.893,9.308,34737,1,34.93,,,,NaN,,,,0 / 0,1755,2018-11-08 11:27:43:934
1.599,4.108,9.567,39385,1,34.93,,,,NaN,,,,0 / 0,2004,2018-11-08 11:27:44:183
-1.436,4.089,8.025,39887,1,34.28,,,,NaN,,,,0 / 0,2255,2018-11-08 11:27:44:434
13.197,-6.052,9.155,9414,1,37.77,,,,NaN,,,,0 / 0,2505,2018-11-08 11:27:44:684
7.719,-7.929,-1.819,3099,1,42.3,,,,NaN,,,,0 / 0,2755,2018-11-08 11:27:44:934
-0.89,-9.96,-0.287,2894,1,33.34,,,,NaN,,,,0 / 0,3005,2018-11-08 11:27:45:184
11.052,-5.028,2.279,409,0,33.34,,,,NaN,,,,0 / 0,3254,2018-11-08 11:27:45:433
-8.063,-19.614,18.78,33,0,45.14,,,,NaN,,,,0 / 0,3505,2018-11-08 11:27:45:684
-2.729,-9.404,-0.565,40,0,41.94,,,,NaN,,,,0 / 0,3754,2018-11-08 11:27:45:933
-1.522,-9.423,-1.225,36,0,64.89,,,,NaN,,,,0 / 0,4004,2018-11-08 11:27:46:183
-1.254,-9.557,-0.861,53,0,46.37,,,,NaN,,,,0 / 0,4254,2018-11-08 11:27:46:433
-1.561,-9.625,-0.756,41,0,34.81,,,,NaN,,,,0 / 0,4504,2018-11-08 11:27:46:683
-0.316,-10.161,-0.277,57,0,34.81,,,,NaN,,,,0 / 0,4755,2018-11-08 11:27:46:934
-1.273,-10.381,0.038,50,0,57.83,,,,NaN,,,,0 / 0,5005,2018-11-08 11:27:47:184
-2.106,-9.95,-1.005,41,0,58.06,,,,NaN,,,,0 / 0,5255,2018-11-08 11:27:47:434
-2.221,-9.749,1.149,55,0,58,,,,NaN,,,,0 / 0,5504,2018-11-08 11:27:47:683
-3.964,-10.554,-0.201,53,0,53.77,,,,NaN,,,,0 / 0,5754,2018-11-08 11:27:47:933
-1.723,-9.452,-0.22,40,0,47.83,,,,NaN,,,,0 / 0,6004,2018-11-08 11:27:48:183
-2.011,-9.778,-0.507,53,0,47.83,,,,NaN,,,,0 / 0,6255,2018-11-08 11:27:48:434
-0.909,-9.711,0.411,56,0,44.91,,,,NaN,,,,0 / 0,6505,2018-11-08 11:27:48:684
-3.064,-10.63,0.344,64,0,50.67,,,,NaN,,,,0 / 0,6755,2018-11-08 11:27:48:934
-1.043,-9.04,-0.45,45,0,45.18,,,,NaN,,,,0 / 0,7006,2018-11-08 11:27:49:185
-1.666,-10.506,0.201,55,0,53.16,,,,NaN,,,,0 / 0,7255,2018-11-08 11:27:49:434
-1.063,-8.38,2.758,55,0,50.04,,,,NaN,,,,0 / 0,7505,2018-11-08 11:27:49:684
-4.721,-13.216,-0.967,60,0,50.04,,,,NaN,,,,0 / 0,7755,2018-11-08 11:27:49:934
-1.771,2.662,7.527,49,0,45.26,,,,NaN,,,,0 / 0,8004,2018-11-08 11:27:50:183
-0.976,-0.134,4.798,48,0,53.14,,,,NaN,,,,0 / 0,8254,2018-11-08 11:27:50:433
-5.64,-8.494,2.317,88,0,53.19,,,,NaN,,,,0 / 0,8505,2018-11-08 11:27:50:684
2.154,1.541,2.279,43,0,59.84,,,,NaN,,,,0 / 0,8755,2018-11-08 11:27:50:934
0.689,-1.608,3.763,47,0,59.84,,,,NaN,,,,0 / 0,9005,2018-11-08 11:27:51:184
-7.259,-19.614,0.373,59,0,51.38,,,,NaN,,,,0 / 0,9255,2018-11-08 11:27:51:434
1.292,-1.225,-1.34,62,0,55.3,,,,NaN,,,,0 / 0,9504,2018-11-08 11:27:51:683
-12.814,-19.614,9.261,64,0,57.88,,,,NaN,,,,0 / 0,9754,2018-11-08 11:27:51:933
-4.443,-12.862,4.386,87,0,54.64,,,,NaN,,,,0 / 0,10005,2018-11-08 11:27:52:184
0.679,-1.407,-0.852,52,0,60.21,,,,NaN,,,,0 / 0,10255,2018-11-08 11:27:52:434
16.606,-19.614,11.54,40,0,60.21,,,,NaN,,,,0 / 0,10505,2018-11-08 11:27:52:684
-2.221,1.599,2.806,55,0,56.77,,,,NaN,,,,0 / 0,10755,2018-11-08 11:27:52:934
0.459,-0.191,1.494,55,0,63.5,,,,NaN,,,,0 / 0,11004,2018-11-08 11:27:53:183
-15.62,-19.614,0.517,68,0,59.06,,,,NaN,,,,0 / 0,11255,2018-11-08 11:27:53:434
0.593,-0.363,-3.687,71,0,61.93,,,,NaN,,,,0 / 0,11505,2018-11-08 11:27:53:684
-19.604,-10.525,8.054,56,0,59.74,,,,NaN,,,,0 / 0,11755,2018-11-08 11:27:53:934
4.28,-10.333,4.319,64,0,59.74,,,,NaN,,,,0 / 0,12005,2018-11-08 11:27:54:184
1.819,-2.059,1.455,59,0,58.84,,,,NaN,,,,0 / 0,12254,2018-11-08 11:27:54:433
-6.79,-11.684,4.3,70,0,59.95,,,,NaN,,,,0 / 0,12504,2018-11-08 11:27:54:683
-1.771,-0.612,5.315,58,0,55.26,,,,NaN,,,,0 / 0,12755,2018-11-08 11:27:54:934
-2.48,-0.708,1.302,75,0,59.34,,,,NaN,,,,0 / 0,13005,2018-11-08 11:27:55:184
-2.94,-11.617,5.324,68,0,50.8,,,,NaN,,,,0 / 0,13255,2018-11-08 11:27:55:434
1.905,-8.044,-0.766,76,0,50.8,,,,NaN,,,,0 / 0,13505,2018-11-08 11:27:55:684
1.302,-13.427,1.082,55,0,56.17,,,,NaN,,,,0 / 0,13755,2018-11-08 11:27:55:934
-2.949,-10.716,-2.346,80,0,53.02,,,,NaN,,,,0 / 0,14005,2018-11-08 11:27:56:184
-2.298,-5.564,0.737,135,0,54.75,,,,NaN,,,,0 / 0,14255,2018-11-08 11:27:56:434
-1.455,-9.376,4.558,118,0,56.75,,,,NaN,,,,0 / 0,14505,2018-11-08 11:27:56:684
2.892,-9.979,2.911,113,0,56.75,,,,NaN,,,,0 / 0,14756,2018-11-08 11:27:56:935
