ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT (lux),MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-0.0934,2.8467,9.3781,-0.7001,2.1135,9.5506,0.5612,0.8707,0.4489,-0.0385,0.1904,-0.1409,309,-0.88,17.63,-8.54,7.65,-12.51,3.97,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,11,2018-11-06 12:00:09:522
-0.0503,2.7749,9.5505,-0.7321,2.1156,9.5477,0.6344,0.7964,0.6214,0.0371,0.2128,-0.2123,309,-0.88,17.63,-8.54,7.65,-12.51,3.97,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,21,2018-11-06 12:00:09:532
-0.0503,2.7749,9.5505,-0.7321,2.1156,9.5477,0.6344,0.7964,0.6214,0.0371,0.2128,-0.2123,309,-0.88,17.63,-8.54,7.65,-12.51,3.97,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,30,2018-11-06 12:00:09:541
-0.1796,2.7725,9.5481,-0.7668,2.1294,9.5419,0.5377,0.7804,0.6217,0.1319,0.2,-0.2709,309,-2.38,17.33,-8.84,8.34,-12.54,4.59,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,40,2018-11-06 12:00:09:551
-0.5914,2.739,9.0956,-0.8059,2.1603,9.5317,0.1628,0.7175,0.1764,0.1724,0.1159,-0.2656,309,-0.73,15.68,-7.64,8.34,-12.54,4.59,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,50,2018-11-06 12:00:09:561
-0.5914,2.739,9.0956,-0.8059,2.1603,9.5317,0.1628,0.7175,0.1764,0.1724,0.1159,-0.2656,309,-0.73,15.68,-7.64,8.34,-12.54,4.59,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,61,2018-11-06 12:00:09:572
-0.9098,2.7294,8.9016,-0.8194,2.1801,9.5261,-0.143,0.6893,-0.013,0.1192,0.0083,-0.2059,309,-2.68,17.33,-7.79,8.34,-12.54,4.59,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,72,2018-11-06 12:00:09:583
-0.9098,2.7294,8.9016,-0.8194,2.1801,9.5261,-0.143,0.6893,-0.013,0.1192,0.0083,-0.2059,309,-2.68,17.33,-7.79,8.34,-12.54,4.59,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,80,2018-11-06 12:00:09:591
-1.0846,2.7054,8.9519,-0.8205,2.193,9.523,-0.3167,0.6531,0.0394,0.0339,-0.045,-0.0941,309,-4.18,17.33,-8.09,14.34,-12.92,4.92,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,91,2018-11-06 12:00:09:602
-0.984,2.6288,8.9447,-0.8164,2.1968,9.5225,-0.2199,0.5727,0.032,0.0084,-0.0461,-0.0195,309,-4.18,17.33,-8.09,14.34,-12.92,4.92,5,35.262,12.922314,77.68371,829.5,NaN,,23.618,,0 / 31,101,2018-11-06 12:00:09:612
